station,stname
C0K280,四湖
C0K291,宜梧
C0K330,虎尾
C0K390,土庫
C0K400,斗六
C0K410,北港
C0K420,西螺
C0K430,褒忠
C0K440,二崙
C0K450,大埤
C0K460,斗南
C0K470,林內
C0K480,莿桐
C0K490,古坑
C0K500,元長
C0K510,水林
C0K520,雲林東勢
C0K530,臺西
C0K550,蔦松
C0K560,棋山
C0K580,高鐵雲林
C0M410,馬頭山
C0M520,東後寮
C0M530,奮起湖
C0M640,中埔
C0M650,朴子
C0M660,溪口
C0M670,大林
C0M680,太保
C0M690,水上
C0M700,竹崎
C0M710,東石
C0M720,番路
C0M730,嘉義市東區
C0M740,六腳
C0M750,布袋
C0M760,民雄
C0M770,嘉義梅山
C0M780,鹿草
C0M790,新港
C0M800,茶山
C0M810,里佳
C0M820,達邦
C0M830,山美
C0M850,表湖
C0O810,曾文
C0O830,北寮
C0O840,王爺宮
C0O860,大內
C0O900,善化
C0O930,玉井
C0O950,安南
C0O960,崎頂
C0O970,虎頭埤
C0O980,新市
C0O990,媽廟
C0R100,尾寮山
C0R130,阿禮
C0R140,瑪家
C0R150,三地門
C0R160,鹽埔新圍
C0R170,屏東
C0R190,赤山
C0R220,潮州
C0R240,來義
C0R260,春日
C0R270,琉球嶼
C0R280,檳榔
C0R350,貓鼻頭
C0R360,墾丁
C0R370,佳樂水
C0R380,枋寮
C0R400,楓港
C0R420,牡丹池山
C0R470,高樹
C0R480,長治
C0R490,九如
C0R510,萬丹
C0R520,崁頂
C0R530,林邊
C0R540,佳冬
C0R550,新埤
C0R560,新園
C0R570,麟洛
C0R580,南州
C0R590,里港
C0R600,舊泰武
C0R620,墾雷
C0R640,東港
C0R650,竹田
C0S660,下馬
C0S680,紅葉山
C0S690,太麻里
C0S700,知本
C0S710,鹿野
C0S730,綠島
C0S740,池上
C0S750,向陽
C0S760,紅石
C0S770,大溪山
C0S790,金崙
C0S810,東河
C0S830,長濱
C0S840,南田
C0S890,關山
C0S900,蘭嶼高中
C0S910,蘭嶼燈塔
C0SA80,土坂
C0T790,大禹嶺
C0T820,天祥
C0T870,鯉魚潭
C0T900,西林
C0T960,光復
C0T9A0,月眉山
C0T9B0,水源
C0T9D0,和中
C0T9E0,大坑
C0T9F0,水璉
C0T9G0,鳳林山
C0T9H0,加路蘭山
C0T9I0,豐濱
C0T9M0,靜浦
C0U520,雙連埤
C0U600,礁溪
C0U650,玉蘭
C0U710,太平山
C0U720,南山
C0U750,龜山島
C0U760,東澳
C0U770,南澳
C0U780,五結
C0U860,頭城
C0U870,大礁溪
C0U890,三星
C0U900,內城
C0U910,冬山
C0U940,羅東
C0U950,鶯子嶺
C0U960,翠峰湖
C0U970,大福
C0U980,坪林石牌
C0U990,員山
C0UA00,土場
C0UA10,鴛鴦湖
C0UA20,多加屯
C0UA30,白嶺
C0UA40,西德山
C0UA50,西帽山
C0UA60,樟樹山
C0UA70,桃源谷
C0V210,復興
C0V250,甲仙
C0V260,月眉
C0V310,美濃
C0V350,溪埔
C0V360,內門
C0V370,古亭坑
C0V400,阿公店
C0V440,鳳山
C0V450,鳳森
C0V490,新興
C0V500,旗津
C0V530,阿蓮
C0V610,梓官
C0V620,永安
C0V630,茄萣
C0V640,湖內
C0V650,彌陀
C0V660,岡山
C0V670,楠梓
C0V680,仁武
C0V690,鼓山
C0V700,三民
C0V710,苓雅
C0V720,林園
C0V730,大寮
C0V740,旗山
C0V750,路竹
C0V760,橋頭
C0V770,大社
C0V790,萬山
C0V800,六龜
C0V810,左營
C0V820,小林
C0W110,東莒
C0W120,西嶼
C0W130,花嶼
C0W140,金沙
C0W150,金寧
C0W160,烏坵
C0W170,東引
C0X050,東河
C0X060,下營
C0X080,佳里
C0X100,臺南市北區
C0X110,臺南市南區
C0X120,麻豆
C0X130,官田
C0X140,西港
C0X150,安定
C0X160,仁德
C0X170,關廟
C0X180,山上
C0X190,安平
C0X200,左鎮
C0X210,白河
C0X220,學甲
C0X230,鹽水
C0X240,關子嶺
C0X250,新營
C0X260,後壁
C0X270,柳營
C0X280,將軍
C0X290,北門
C0X300,鹿寮
C0X310,七股
C0Z020,明里
C0Z050,佳心
C0Z061,玉里
C0Z070,舞鶴
C0Z080,富源
C0Z100,東華
C0Z150,吉安光華
C0Z160,鳳林
C0Z170,卓溪
C0Z180,新城
C0Z190,富世
C0Z200,萬榮
C0Z210,瑞穗
C0Z220,和平林道
C0Z230,和平
C0Z250,瑞穗林道
C0Z270,蕃薯寮
C0Z280,德武
C0Z290,赤柯山
C0Z300,東里
C0Z310,清水斷崖
C0Z320,清水林道
C0Z330,安通山
C1C510,水尾
C1D380,新埔
C1D400,鳥嘴山
C1D410,白蘭
C1D420,太閣南
C1D630,飛鳳山
C1D640,外坪(五指山)
C1E451,象鼻
C1E461,松安
C1E480,鳳美
C1E511,新開
C1E601,南勢
C1E670,南礦
C1E681,南勢山
C1E691,南湖
C1E701,八卦
C1E711,馬拉邦山
C1E721,泰安
C1E770,公館
C1F871,上谷關
C1F891,稍來
C1F911,新伯公
C1F941,雪嶺
C1F9B1,桐林
C1F9C1,白冷
C1F9D1,白毛台
C1F9E1,龍安
C1F9F1,伯公龍
C1F9G1,慶福山
C1F9H1,烏石坑
C1F9J1,清水林
C1F9W0,德基
C1G691,下水埔
C1H000,翠峰
C1H860,瑞岩
C1H900,清流
C1H920,長豐
C1H941,雙冬
C1H971,六分寮
C1H9B1,阿眉
C1I020,萬大
C1I030,武界
C1I050,丹大
C1I070,和社
C1I101,溪頭
C1I121,大鞍
C1I131,桶頭
C1I140,卡奈托灣
C1I150,青雲
C1I201,中心崙
C1I211,蘆竹湳
C1I220,樟湖
C1I230,九份二山
C1I240,外大坪
C1I250,鯉潭
C1I260,北坑
C1I280,埔中
C1I290,豐丘
C1I310,西巒
C1I320,奧萬大
C1I330,楓樹林
C1I340,新興橋
C1I400,凌霄
C1I430,翠華
C1I440,新高口
C1I450,望鄉山
C1I470,杉林溪
C1I500,大尖山
C1I510,線浸林道
C1K540,口湖
C1M390,龍美
C1M400,菜瓜坪
C1M480,獨立山
C1M600,頭凍
C1M610,石磐龍
C1M620,瑞里
C1M640,十字
C1N001,沙崙
C1O850,環湖
C1O870,大棟山
C1O880,關山
C1O921,楠西
C1R110,口社
C1R120,上德文
C1R250,力里
C1R290,石門山
C1R300,旭海
C1R320,車城
C1R330,枋山
C1R340,牡丹
C1R440,大漢山
C1R610,西大武山
C1R630,龍泉
C1S670,摩天
C1S800,華源
C1S820,金峰
C1S850,豐南
C1S860,利嘉
C1S870,南美山
C1S880,壽卡
C1SA70,都蘭
C1T800,洛韶
C1T810,慈恩
C1T830,布洛灣
C1T920,中興
C1T940,大觀
C1T950,太安
C1T970,大農
C1T980,龍澗
C1T990,高寮
C1TA00,太魯閣
C1U501,牛鬥
C1U670,寒溪
C1U690,新寮
C1U830,烏石鼻
C1U840,東澳嶺
C1U850,觀音海岸
C1U880,北關
C1U920,思源
C1V160,達卡努瓦
C1V170,排雲
C1V190,南天池
C1V200,梅山
C1V220,小關山
C1V231,高中
C1V300,御油山
C1V340,大津
C1V390,尖山
C1V570,吉東
C1V580,溪南(特生中心)
C1V590,新發
C1V600,藤枝
C1V780,多納林道
C1X040,東原
C1Z030,紅葉
C1Z040,立山
C1Z110,三棧
C1Z120,壽豐
C1Z130,銅門
C1Z140,荖溪
C1Z240,中平林道
